1,1,13,0
2,1,14,0
3,2,15,0
4,2,16,0
5,3,17,0
6,3,18,0
7,4,9,0
8,4,10,0
9,5,11,0
10,5,68,0
11,6,24,0
12,6,25,0
13,7,26,0
14,7,27,0
15,8,28,0
16,8,29,0
17,9,30,0
18,9,31,0
19,10,32,0
20,10,33,0
21,11,34,0
22,11,35,0
23,12,36,0
24,12,37,0
25,13,38,0
26,13,36,0
27,14,19,0
28,14,21,0
29,15,22,0
30,15,23,0
31,16,12,0
32,16,14,0
33,17,8,0
34,17,10,0
35,18,11,0
36,18,68,0
37,19,26,0
38,19,27,0
39,20,25,0
40,20,26,0
41,21,28,0
42,21,29,0
43,22,30,0
44,22,31,0
45,23,32,0
46,23,33,0
47,24,34,0
48,24,35,0
49,25,36,0
50,25,37,0
51,26,38,0
52,26,39,0
53,27,15,0
54,27,16,0
55,28,17,0
56,28,18,0
57,29,19,0
58,29,20,0
59,30,8,0
60,30,9,0
61,31,11,0
62,31,68,0
63,32,27,0
64,32,24,0
65,33,26,0
66,33,27,0
67,34,31,0
68,34,29,0
69,35,30,0
70,35,31,0
71,36,32,0
72,36,33,0
73,37,34,0
74,37,35,0
75,38,36,0
76,38,37,0
77,39,38,0
78,39,39,0
79,40,21,0
80,40,23,0
81,41,12,0
82,41,13,0
83,42,14,0
84,42,16,0
85,43,8,0
86,43,9,0
87,44,10,0
88,44,68,0
89,45,24,0
90,45,25,0
91,46,27,0
92,46,24,0
93,47,28,0
94,47,30,0
95,48,31,0
96,48,28,0
97,49,33,0
98,49,34,0
99,50,35,0
100,50,33,0
101,51,36,0
102,51,37,0
103,52,38,0
104,52,39,0
105,53,17,0
106,53,18,0
107,54,19,0
108,54,20,0
109,55,21,0
110,55,22,0
111,56,9,0
112,56,10,0
113,57,11,0
114,57,68,0
115,58,25,0
116,58,26,0
117,59,24,0
118,59,25,0
119,60,29,0
120,60,31,0
121,61,28,0
122,61,29,0
123,62,34,0
124,62,35,0
125,63,32,0
126,63,34,0
127,64,38,0
128,64,39,0
129,65,37,0
130,65,38,0
131,66,21,0
132,66,22,0
133,66,23,0
134,67,12,0
135,67,13,0
136,67,14,0
137,68,15,0
138,68,16,0
139,68,18,0
140,69,19,0
141,69,20,0
142,69,21,0
143,70,8,0
144,70,9,0
145,71,10,0
146,71,11,0
147,72,68,0
148,72,8,0
149,73,24,0
150,73,25,0
151,74,26,0
152,74,27,0
153,75,24,0
154,75,25,0
155,76,30,0
156,76,28,0
157,77,29,0
158,77,30,0
159,78,28,0
160,78,29,0
161,79,35,0
162,79,32,0
163,80,33,0
164,80,35,0
165,81,32,0
166,81,33,0
167,82,39,0
168,82,36,0
169,83,38,0
170,83,39,0
171,84,36,0
172,84,38,0
173,85,22,0
174,85,23,0
175,85,12,0
176,86,13,0
177,86,14,0
178,86,15,0
179,87,16,0
180,87,17,0
181,87,19,0
182,88,20,0
183,88,21,0
184,88,22,0
185,89,10,0
186,89,11,0
187,90,8,0
188,90,9,0
189,91,10,0
190,91,11,0
191,92,26,0
192,92,27,0
193,93,24,0
194,93,25,0
195,94,26,0
196,94,27,0
197,95,30,0
198,95,31,0
199,96,28,0
200,96,29,0
201,97,30,0
202,97,31,0
203,98,34,0
204,98,32,0
205,99,33,0
206,99,34,0
207,100,32,0
208,100,33,0
209,101,39,0
210,101,36,0
211,102,37,0
212,102,39,0
213,103,36,0
214,103,37,0
215,104,17,0
216,104,18,0
217,104,20,0
218,105,21,0
219,105,22,0
220,105,23,0
221,106,13,0
222,106,14,0
223,106,15,0
224,107,16,0
225,107,17,0
226,107,18,0
227,108,9,0
228,108,10,0
229,109,11,0
230,109,68,0
231,110,9,0
232,110,10,0
233,111,24,0
234,111,25,0
235,112,26,0
236,112,27,0
237,113,24,0
238,113,25,0
239,114,28,0
240,114,29,0
241,115,30,0
242,115,31,0
243,116,28,0
244,116,29,0
245,117,32,0
246,117,33,0
247,118,34,0
248,118,35,0
249,119,32,0
250,119,33,0
251,120,38,0
252,120,36,0
253,121,37,0
254,121,38,0
255,122,36,0
256,122,37,0
257,123,19,0
258,123,21,0
259,123,22,0
260,124,23,0
261,124,12,0
262,124,14,0
263,125,15,0
264,125,16,0
265,125,17,0
266,126,18,0
267,126,19,0
268,126,21,0
269,127,11,0
270,127,68,0
271,128,8,0
272,128,10,0
273,129,11,0
274,129,68,0
275,130,27,0
276,130,25,0
277,131,26,0
278,131,27,0
279,132,25,0
280,132,26,0
281,133,30,0
282,133,31,0
283,134,28,0
284,134,29,0
285,135,30,0
286,135,31,0
287,136,34,0
288,136,35,0
289,137,32,0
290,137,33,0
291,138,34,0
292,138,35,0
293,139,38,0
294,139,39,0
295,140,36,0
296,140,37,0
297,141,38,0
298,141,39,0
299,142,22,0
300,142,23,0
301,142,12,0
302,143,13,0
303,143,15,0
304,143,16,0
305,144,17,0
306,144,18,0
307,144,19,0
308,145,20,0
309,145,22,0
310,145,23,0
311,146,8,0
312,146,9,0
313,147,11,0
314,147,68,0
315,148,8,0
316,148,9,0
317,149,27,0
318,149,24,0
319,150,26,0
320,150,27,0
321,151,24,0
322,151,26,0
323,152,31,0
324,152,29,0
325,153,30,0
326,153,31,0
327,154,29,0
